Player,Role,PlayerValueScore,AuctionPrice,AcquisitionType,ValuePerCrore
A Badoni (LSG),Batsman,46.9,4.0,Retained,11.72
A Kamboj (CSK),Bowler,73.2,3.4,Retained,21.53
A Madhwal (RR),Bowler,45.3,N/A,Replacement,
A Manohar (SRH),Batsman,15.6,N/A,Unsold,
A Mhatre (CSK),Batsman,47.9,0.3,Retained,159.67
A Raghuvanshi (KKR),Batsman,42.8,3.0,Retained,14.27
A Taide (SRH),Batsman,20.5,N/A,Unsold,
A Zampa (SRH),Bowler,37.0,N/A,N/A,
AD Russell (KKR),All-Rounder,43.1,N/A,N/A,
AK Markram (LSG),Batsman,57.6,2.0,Retained,28.8
AM Rahane (KKR),Batsman,52.2,1.5,Retained,34.8
AR Patel (DC),All-Rounder,47.8,16.5,Retained,2.9
AR Sharma (DC),Batsman,39.8,3.8,Retained,10.47
AS Roy (KKR),Bowler,66.7,0.4,Retained,166.75
AU Verma (SRH),Batsman,41.3,0.3,Retained,137.67
Abdul Samad (LSG),Batsman,35.9,4.2,Retained,8.55
Abhishek Sharma (SRH),Batsman,71.2,14.0,Retained,5.09
Abishek Porel (DC),Wicketkeeper,41.2,4.0,Retained,10.3
Akash Deep (LSG),Bowler,28.7,1.0,Bought,28.7
Akash Singh (LSG),Bowler,61.4,0.3,Retained,204.67
Arshad Khan (GT),Bowler,53.8,1.3,Retained,41.38
Arshdeep Singh (PBKS),Bowler,88.9,18.0,Retained,4.94
Ashwani Kumar (MI),Bowler,61.2,0.3,Retained,204.0
Avesh Khan (LSG),Bowler,65.1,9.8,Retained,6.64
Azmatullah Omarzai (PBKS),Bowler,57.5,2.4,Retained,23.96
B Kumar (RCB),Bowler,79.3,10.8,Retained,7.34
B Sai Sudharsan (GT),Batsman,94.3,8.5,Retained,11.09
BKG Mendis (GT),Batsman,32.1,0.8,Retained,40.12
C Bosch (MI),Bowler,53.1,0.8,Retained,66.38
CV Varun (KKR),Bowler,89.3,12.0,Retained,7.44
D Brevis (CSK),Batsman,48.2,2.2,Retained,21.91
D Padikkal (RCB),Batsman,41.2,2.0,Retained,20.6
DA Miller (LSG),Wicketkeeper,31.0,2.0,Bought,15.5
DC Jurel (RR),Wicketkeeper,49.8,14.0,Retained,3.56
DJ Hooda (CSK),Batsman,8.1,N/A,Unsold,
DL Chahar (MI),Bowler,68.5,9.2,Retained,7.45
DP Conway (CSK),Wicketkeeper,32.9,N/A,Unsold,
DS Rathi (LSG),Bowler,79.1,0.3,Retained,263.67
E Malinga (SRH),Bowler,77.5,1.2,Retained,64.58
F du Plessis (DC),Batsman,32.9,N/A,N/A,
Fazalhaq Farooqi (RR),Batsman,8.4,N/A,Unsold,
G Coetzee (GT),Bowler,36.0,N/A,Replacement,
GJ Maxwell (PBKS),Bowler,62.7,N/A,N/A,
H Klaasen (SRH),Wicketkeeper,72.6,23.0,Retained,3.16
HH Pandya (MI),All-Rounder,55.7,16.4,Retained,3.4
HS Dubey (SRH),Bowler,59.7,0.3,Retained,199.0
HV Patel (SRH),Bowler,75.4,8.0,Retained,9.43
Harpreet Brar (PBKS),Bowler,73.9,1.5,Retained,49.27
Harshit Rana (KKR),Bowler,71.0,4.0,Retained,17.75
I Sharma (GT),Bowler,41.9,0.8,Retained,52.37
Ishan Kishan (SRH),Wicketkeeper,59.5,11.2,Retained,5.31
J Fraser-McGurk (DC),Batsman,15.1,N/A,Unsold,
J Overton (CSK),Batsman,27.3,1.5,Retained,18.2
JC Archer (RR),Bowler,65.5,12.5,Retained,5.24
JC Buttler (GT),Wicketkeeper,73.4,15.8,Retained,4.65
JD Unadkat (SRH),Bowler,83.1,1.0,Retained,83.1
JG Bethell (RCB),Batsman,36.0,2.6,Retained,13.85
JJ Bumrah (MI),Bowler,97.4,18.0,Retained,5.41
JM Bairstow (MI),Wicketkeeper,40.7,N/A,Unsold,
JM Sharma (RCB),Wicketkeeper,48.0,11.0,Retained,4.36
JP Inglis (PBKS),Wicketkeeper,44.5,8.6,Bought,5.17
JR Hazlewood (RCB),Bowler,93.1,12.5,Retained,7.45
K Kartikeya (RR),Bowler,49.5,N/A,Unsold,
K Khejroliya (GT),Bowler,51.2,N/A,Unsold,
K Nitish Kumar Reddy (SRH),Batsman,28.4,6.0,Retained,4.73
K Rabada (GT),Bowler,28.2,10.8,Retained,2.61
KA Jamieson (PBKS),Bowler,56.9,2.0,Bought,28.45
KH Pandya (RCB),All-Rounder,56.1,5.8,Retained,9.67
KK Ahmed (CSK),Bowler,74.2,4.8,Retained,15.46
KK Nair (DC),Batsman,39.8,0.5,Retained,79.6
KL Rahul (DC),Wicketkeeper,77.7,14.0,Retained,5.55
KT Maphaka (RR),Bowler,38.2,1.5,Retained,25.47
KV Sharma (MI),Bowler,69.8,16.3,Retained,4.28
Kuldeep Yadav (DC),Bowler,88.6,13.2,Retained,6.71
L Ngidi (RCB),Bowler,56.2,2.0,Bought,28.1
LH Ferguson (PBKS),Bowler,62.5,2.0,Retained,31.25
LS Livingstone (RCB),Batsman,26.2,13.0,Bought,2.02
M Jansen (PBKS),Bowler,78.5,7.0,Retained,11.21
M Pathirana (CSK),Bowler,67.2,18.0,Bought,3.73
M Prasidh Krishna (GT),Bowler,100.0,9.5,Retained,10.53
M Shahrukh Khan (GT),Batsman,41.7,4.0,Retained,10.43
M Siddharth (LSG),Bowler,52.0,0.8,Retained,65.0
M Theekshana (RR),Bowler,64.6,N/A,Unsold,
M Tiwari (DC),Batsman,5.4,0.4,Retained,13.5
MA Agarwal (RCB),Batsman,31.7,N/A,Unsold,
MA Starc (DC),Bowler,70.6,11.8,Retained,5.98
MJ Santner (MI),Bowler,74.1,2.0,Retained,37.05
MK Pandey (KKR),Batsman,35.3,0.8,Retained,44.12
MM Ali (KKR),Bowler,67.1,N/A,N/A,
MM Sharma (DC),Bowler,21.3,3.8,Retained,5.61
MP Breetzke (LSG),Batsman,16.4,0.8,Retained,20.5
MP Stoinis (PBKS),Batsman,39.3,11.0,Retained,3.57
MP Yadav (LSG),Bowler,32.3,11.0,Retained,2.94
MR Marsh (LSG),Batsman,86.7,3.4,Retained,25.5
MS Dhoni (CSK),Wicketkeeper,32.3,4.0,Retained,8.07
Mohammed Shami (SRH),Bowler,43.5,10.0,Retained,4.35
Mohammed Siraj (GT),Bowler,76.6,12.2,Retained,6.28
Mukesh Choudhary (CSK),Bowler,28.1,0.3,Retained,93.67
Mukesh Kumar (DC),Bowler,64.3,8.0,Retained,8.04
Mustafizur Rahman (DC),Bowler,67.2,9.2,Bought,7.3
N Pooran (LSG),Wicketkeeper,72.5,21.0,Retained,3.45
N Rana (RR),Batsman,39.5,4.2,Retained,9.4
N Thushara (RCB),Bowler,68.3,1.6,Retained,42.69
N Wadhera (PBKS),Batsman,47.9,4.2,Retained,11.4
NT Ellis (CSK),Bowler,49.5,2.0,Retained,24.75
NT Tilak Varma (MI),Batsman,45.5,8.0,Retained,5.69
Naman Dhir (MI),Batsman,45.2,5.2,Retained,8.69
Noor Ahmad (CSK),Bowler,99.7,10.0,Retained,9.97
P Arya (PBKS),Batsman,68.8,3.8,Retained,18.11
P Dubey (PBKS),Bowler,52.0,0.3,Bought,173.33
PD Salt (RCB),Wicketkeeper,58.2,11.5,Retained,5.06
PHKD Mendis (SRH),Bowler,58.1,0.8,Retained,72.62
PJ Cummins (SRH),Bowler,78.9,18.0,Retained,4.38
PVD Chameera (DC),Bowler,43.2,0.8,Retained,54.0
PW Hasaranga (RR),Bowler,69.3,2.0,Bought,34.65
PWA Mulder (SRH),Batsman,8.9,N/A,Unsold,
Prabhsimran Singh (PBKS),Batsman,62.8,4.0,Retained,15.7
Prince Yadav (LSG),Bowler,40.4,0.3,Retained,134.67
Q de Kock (KKR),Wicketkeeper,29.7,1.0,Bought,29.7
R Ashwin (CSK),Bowler,60.5,N/A,N/A,
R Minz (MI),Batsman,0.0,0.7,Retained,0.0
R Parag (RR),Batsman,51.7,14.0,Retained,3.69
R Powell (KKR),Batsman,10.2,1.5,Retained,6.8
R Ravindra (CSK),Batsman,33.3,2.0,Bought,16.65
R Sai Kishore (GT),Bowler,85.0,2.0,Retained,42.5
R Shepherd (RCB),Bowler,54.7,1.5,Retained,36.47
R Tewatia (GT),Batsman,28.4,4.0,Retained,7.1
RA Bawa (MI),Batsman,24.6,0.3,Retained,82.0
RA Jadeja (CSK),All-Rounder,57.1,14.0,Retained,4.08
RA Tripathi (CSK),Batsman,14.3,0.8,Bought,17.88
RD Gaikwad (CSK),Batsman,33.7,18.0,Retained,1.87
RD Rickelton (MI),Wicketkeeper,50.7,1.0,Retained,50.7
RG Sharma (MI),Batsman,53.4,16.3,Retained,3.28
RJ Gleeson (MI),Bowler,40.8,N/A,Replacement,
RK Singh (KKR),Batsman,37.5,13.0,Retained,2.88
RM Patidar (RCB),Batsman,42.3,11.0,Retained,3.85
RR Pant (LSG),Wicketkeeper,48.3,27.0,Retained,1.79
Rahmanullah Gurbaz (KKR),Wicketkeeper,24.7,N/A,Unsold,
Ramandeep Singh (KKR),Batsman,19.4,13.0,Retained,1.49
Rashid Khan (GT),Bowler,57.8,18.0,Retained,3.21
Rasikh Salam (RCB),Bowler,29.3,6.0,Retained,4.88
Ravi Bishnoi (LSG),Bowler,53.8,7.2,Bought,7.47
S Dube (CSK),Batsman,44.3,12.0,Retained,3.69
SA Yadav (MI),Batsman,85.2,16.4,Retained,5.2
SB Dubey (RR),Batsman,32.4,0.8,Retained,40.5
SE Rutherford (GT),Batsman,43.4,2.6,Retained,16.69
SH Johnson (KKR),Bowler,10.9,N/A,Replacement,
SK Rasheed (CSK),Batsman,18.8,N/A,N/A,
SM Curran (CSK),Batsman,29.0,2.4,Retained,12.08
SN Thakur (LSG),Bowler,63.8,2.0,Retained,31.9
SO Hetmyer (RR),Batsman,36.7,11.0,Retained,3.34
SP Narine (KKR),All-Rounder,59.2,12.0,Retained,4.93
SS Iyer (PBKS),Batsman,76.9,26.8,Retained,2.87
SV Samson (RR),Wicketkeeper,42.9,18.0,Retained,2.38
Sameer Rizvi (DC),Batsman,38.1,0.9,Retained,42.33
Sandeep Sharma (RR),Bowler,59.8,4.0,Retained,14.95
Sediqullah Atal (DC),Batsman,22.9,N/A,Unsold,
Shahbaz Ahmed (LSG),Batsman,13.8,2.4,Retained,5.75
Shashank Singh (PBKS),Batsman,56.1,5.5,Retained,10.2
Shubman Gill (GT),Batsman,76.1,16.5,Retained,4.61
Simarjeet Singh (SRH),Bowler,18.2,5.5,Retained,3.31
Suryansh Shedge (PBKS),Batsman,3.6,0.3,Retained,12.0
Suyash Sharma (RCB),Bowler,59.3,2.6,Retained,22.81
T Stubbs (DC),Batsman,48.9,N/A,Retained,
TA Boult (MI),Bowler,90.5,12.5,Retained,7.24
TH David (RCB),Batsman,54.2,3.0,Retained,18.07
TM Head (SRH),Batsman,52.3,14.0,Retained,3.74
TU Deshpande (RR),Bowler,56.8,6.5,Retained,8.74
UM Patel (CSK),Batsman,37.5,0.3,Retained,125.0
V Kohli (RCB),Batsman,79.0,21.0,Retained,3.76
V Nigam (DC),All-Rounder,52.2,0.5,Retained,104.4
V Puthur (MI),Bowler,65.4,0.3,Bought,218.0
V Shankar (CSK),Batsman,33.9,N/A,Unsold,
V Sooryavanshi (RR),Batsman,63.1,1.1,Retained,57.36
V Vyshak (PBKS),Bowler,46.4,1.8,Retained,25.78
VG Arora (KKR),Bowler,75.9,1.8,Retained,42.17
VR Iyer (KKR),Batsman,30.1,7.0,Bought,4.3
W O'Rourke (LSG),Bowler,45.4,N/A,Unsold,
WG Jacks (MI),All-Rounder,51.4,5.2,Retained,9.88
Washington Sundar (GT),Batsman,34.8,3.2,Retained,10.87
XC Bartlett (PBKS),Bowler,47.7,0.8,Retained,59.62
YBK Jaiswal (RR),Batsman,69.6,18.0,Retained,3.87
YS Chahal (PBKS),Bowler,76.7,18.0,Retained,4.26
Yash Dayal (RCB),Bowler,69.0,5.0,Retained,13.8
Yudhvir Singh (RR),Bowler,43.5,0.3,Retained,145.0
Zeeshan Ansari (SRH),Bowler,50.8,0.4,Retained,127.0
